day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;PEARLS;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
-1;0;BANANAS;4946;1;4945;30;;;4952;30;;;;;4949.0;0.0
-1;100;PEARLS;9998;1;9996;1;9995;60;10002;6;10004;1;10005;60;10000.0;0.0
-1;100;BANANAS;4946;1;4945;61;;;4950;7;4952;61;;;4948.0;0.0
-1;200;BANANAS;4946;1;4945;83;;;4950;7;4951;1;4952;82;4948.0;0.0
-1;200;PEARLS;9998;1;9996;2;9995;81;10002;6;10004;2;10005;81;10000.0;0.0
-1;300;PEARLS;9996;4;9995;104;;;9998;2;10002;6;10004;4;9997.0;0.0
-1;300;BANANAS;4946;1;4945;108;;;4950;7;4951;1;4952;107;4948.0;0.0
-1;400;PEARLS;9998;3;9996;6;9995;127;10002;6;10004;6;10005;127;10000.0;0.0
-1;400;BANANAS;4946;6;4945;133;;;4950;7;4951;1;4952;132;4948.0;0.0
-1;500;PEARLS;9998;3;9996;8;9995;149;10002;5;10004;8;10005;149;10000.0;0.0
-1;500;BANANAS;4946;6;4945;157;;;4950;7;4951;1;4952;156;4948.0;0.0
-1;600;BANANAS;4946;8;4945;181;;;4950;16;4951;1;4952;182;4948.0;0.0
-1;600;PEARLS;9998;3;9996;10;9995;173;10002;14;10004;10;10005;173;10000.0;0.0
-1;700;PEARLS;9998;10;9996;10;9995;200;10002;14;10004;10;10005;200;10000.0;0.0
-1;700;BANANAS;4946;15;4945;208;;;4950;16;4951;1;4952;209;4948.0;0.0
-1;800;PEARLS;9998;10;9996;10;9995;226;10002;14;10004;10;10005;226;10000.0;0.0
-1;800;BANANAS;4946;15;4945;208;4944;26;4950;16;4951;27;4952;209;4948.0;0.0
-1;900;BANANAS;4946;15;4945;208;4944;28;4950;45;4951;27;4952;209;4948.0;0.0
-1;900;PEARLS;9998;10;9996;12;9995;253;10002;14;10004;12;10005;253;10000.0;0.0
-1;1000;BANANAS;4946;15;4945;208;4944;56;4950;47;4951;53;4952;209;4948.0;0.0
-1;1000;PEARLS;9998;10;9996;14;9995;279;10002;14;10004;14;10005;279;10000.0;0.0
-1;1100;BANANAS;4946;15;4945;208;4944;81;4950;49;4951;76;4952;209;4948.0;0.0
-1;1100;PEARLS;9998;10;9996;16;9995;302;10002;14;10004;16;10005;302;10000.0;0.0
-1;1200;PEARLS;9998;19;9996;18;9995;330;10002;14;10004;18;10005;330;10000.0;0.0
-1;1200;BANANAS;4946;15;4945;217;4944;111;4950;49;4951;106;4952;209;4948.0;0.0
-1;1300;PEARLS;9998;19;9996;19;9995;357;10002;14;10004;19;10005;357;10000.0;0.0
-1;1300;BANANAS;4946;11;4945;217;4944;139;4950;49;4951;134;4952;209;4948.0;0.0
-1;1400;BANANAS;4945;25;;;;;4951;2;4952;24;;;4948.0;0.0
-1;1400;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;1500;PEARLS;10002;1;9996;2;9995;20;10004;2;10005;20;;;10003.0;0.0
-1;1500;BANANAS;4950;1;4945;2;4944;20;4951;22;;;;;4950.5;0.0
-1;1600;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;1600;BANANAS;4945;23;;;;;4951;1;4952;22;;;4948.0;1.853515625
-1;1700;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;0.0
-1;1700;BANANAS;4945;27;;;;;4948;2;4952;27;;;4946.5;1.0576171875
-1;1800;BANANAS;4946;2;4945;25;;;4952;27;;;;;4949.0;1.21728515625
-1;1800;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
-1;1900;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
-1;1900;BANANAS;4945;31;;;;;4952;31;;;;;4948.5;1.7177734375
-1;2000;PEARLS;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;0.0
-1;2000;BANANAS;4945;26;;;;;4950;7;4951;1;4952;25;4947.5;1.75537109375
-1;2100;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-1;2100;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;-9.42578125
-1;2200;BANANAS;4945;32;;;;;4952;32;;;;;4948.5;-7.8046875
-1;2200;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;2300;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
-1;2300;BANANAS;4946;2;4945;22;;;4952;24;;;;;4949.0;-6.47265625
-1;2400;PEARLS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;0.0
-1;2400;BANANAS;4951;3;4948;4;4947;25;4953;2;4954;23;;;4952.0;0.828125
-1;2500;BANANAS;4947;1;4946;20;;;4948;5;4953;21;;;4947.5;-1.189453125
-1;2500;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;0.0
